Year,usg_apt_id,usg_apt,usg_wac,fg_apt_id,fg_apt,fg_wac,Total
2020,12478,JFK,22,13560,MXP,450,2
2020,12953,LGA,22,16217,YUL,941,30
2020,13577,MYR,37,16215,YTZ,936,13
2020,11697,FLL,33,13180,MBJ,243,49
2020,13303,MIA,33,13218,MDE,327,44
2020,14747,SEA,93,12143,HKG,729,35
2020,12191,HOU,74,11032,CUN,148,175
2020,10257,ALB,22,16149,YOW,936,1
2020,12266,IAH,74,11874,GDL,148,13
2020,10994,CHS,37,13043,LOS,555,1
2020,14747,SEA,93,11455,DXB,678,46
2020,13303,MIA,33,11204,CWB,316,7
2020,15304,TPA,33,16321,ZRH,486,2
2020,12016,GUM,5,14186,PNI,810,2
2020,10299,ANC,1,12277,ICN,778,43
2020,13891,ONT,91,11874,GDL,148,64
2020,14893,SMF,91,11874,GDL,148,64
2020,13303,MIA,33,13218,MDE,327,23
2020,13930,ORD,41,16321,ZRH,486,60
2020,12889,LAS,85,12966,LGW,493,13
2020,12266,IAH,74,16304,ZIH,148,58
2020,12266,IAH,74,13252,MEX,148,2
2020,14747,SEA,93,11435,DUB,441,26
2020,11618,EWR,22,10517,BCN,482,38
2020,15024,STT,4,14849,SKB,275,58
2020,12266,IAH,74,13180,MBJ,243,18
2020,12264,IAD,32,14051,PDL,469,2
2020,14679,SAN,91,16257,YYC,916,35
2020,11298,DFW,74,10846,BZE,106,64
2020,11697,FLL,33,14012,PAP,238,38
2020,10299,ANC,1,14309,PVG,713,46
2020,12264,IAD,32,12010,GUA,127,2
2020,12016,GUM,5,15237,TKK,810,44
2020,12478,JFK,22,15084,SXM,264,38
2020,10721,BOS,13,10521,BDA,207,26
2020,14100,PHL,23,13165,MAN,493,60
2020,12266,IAH,74,15258,TLV,636,2
2020,14747,SEA,93,13744,NRT,736,54
2020,15027,STX,4,14849,SKB,275,58
2020,13303,MIA,33,15013,STI,224,7
2020,12173,HNL,2,10244,AKL,851,26
2020,12266,IAH,74,15258,TLV,636,2
2020,15304,TPA,33,16085,YHZ,951,46
2020,10299,ANC,1,12277,ICN,778,52
2020,10721,BOS,13,11988,GRU,316,44
2020,11298,DFW,74,12169,HND,736,7
2020,14107,PHX,81,10608,BHX,493,1
2020,12917,LCK,44,12143,HKG,729,7
2020,12266,IAH,74,14717,SCL,324,58
2020,12266,IAH,74,11760,FRA,429,7
2020,13930,ORD,41,13156,MAD,482,60
2020,10693,BNA,54,16257,YYC,916,2
2020,12266,IAH,74,14681,SAP,131,58
2020,14747,SEA,93,10920,CDG,427,26
2020,13204,MCO,33,11435,DUB,441,30
2020,12889,LAS,85,12966,LGW,493,26
2020,13303,MIA,33,11164,CTG,327,32
2020,10299,ANC,1,10877,CAN,713,12
2020,14771,SFO,91,12991,LIS,469,32
